url,url_mobile,title,seendate,socialimage,domain,language,sourcecountry,keyword,target_language,content_hash
https://www.arabnews.com/node/2598774/business-economy,https://www.arabnews.com/node/2598774/amp,"Eastern Province tops Saudi Arabia for FDI , with $97 . 6bn , says top official",20250428T140000Z,https://www.arabnews.com/sites/default/files/styles/660x371_watermarksaudi/public/main-image/2025/04/28/4596775-404521216.jpg?itok=IEFLgBvj,arabnews.com,English,Saudi Arabia,investment,English,2291615f3c5329a981d51cb247f912d1
https://timesofindia.indiatimes.com/business/india-business/fpis-infuse-rs-17425-crore-investment-in-indian-equities-this-week/articleshow/120662813.cms,https://timesofindia.indiatimes.com/business/india-business/fpis-infuse-rs-17425-crore-investment-in-indian-equities-this-week/amp_articleshow/120662813.cms,"FPIs infuse Rs 17 , 425 crore investment in Indian equities this week",20250427T071500Z,"https://static.toiimg.com/thumb/msid-120662825,width-1070,height-580,imgsize-1310978,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",timesofindia.indiatimes.com,English,India,investment,English,bd27817c17d88932156f59a6a7029133
https://www.businesstimes.com.sg/companies-markets/yangzijiang-financial-exploring-possibility-spin-maritime-investment-business,,Yangzijiang Financial exploring possibility to spin off maritime investment business,20250427T113000Z,https://cassette.sphdigital.com.sg/image/businesstimes/77a4463f8cda4b2a74e812bbdf1ec541520ff54110d80e6bf5686603c8aac5f7?&f=webp,businesstimes.com.sg,English,Singapore,investment,English,fc6fc277b10c08186852f999c801dd04
https://www.zawya.com/en/economy/gcc/al-failh-approves-executive-regulations-of-investment-law-in-saudi-arabia-mlhfr4uo,,Al - Failh approves executive regulations of Investment Law in Saudi Arabia,20250428T170000Z,https://static.zawya.com/view/acePublic/alias/contentid/MmFiNTFiNmUtMWQ5Yy00/11/1413064307.jpeg?f=3%3A2,zawya.com,English,United Arab Emirates,investment,English,4953cdeb12c0baf6b550a417c5db9292
https://www.rte.ie/news/business/2025/0428/1509747-vc-investment-up-significantly-in-q1-on-back-of-megadeals/,https://amp.rte.ie/amp/1509747/ ,VC investment up significantly in Q1 on back of megadeals,20250428T053000Z,https://img.rasset.ie/0021bc56-1600.jpg,rte.ie,English,Ireland,investment,English,19e56e1b9902d8c4b1830d3d0ed097c9
https://bulawayo24.com/news/national/252347,,Daniel Chapo courts Zimbabwe investors at ZITF,20250428T144500Z,https://img.bulawayo24.com/articles/chapo_mozambi.jpg,bulawayo24.com,English,Zimbabwe,investment,English,cdb543c85352b0c5f8a154f061bdd6ac
http://www.dailypioneer.com/2025/state-editions/cm-to-inaugurate----mp-tech-growth-conclave-2025----today.html,,CM to inaugurate  MP Tech Growth Conclave 2025  today,20250427T070000Z,,dailypioneer.com,English,India,investment,English,b223081fd874cffe106adca393f158e7
https://news.abidjan.net/galeries/55270/forum-invest-in-le-district-du-denguele-ouvre-ses-portes-aux-investisseurs-du-monde,,  Forum Invest In  : le District du Denguélé ouvre ses portes aux investisseurs du monde,20250428T130000Z,https://media-files.abidjan.net/galerie/680f652400e36_galerie_55270.jpg,news.abidjan.net,French,Ivory Coast,investment,French,66c09d022c0b59992fd7bb27f03e0a6d
https://www.globenewswire.com/news-release/2025/04/28/3069453/0/fr/RESULTATS-ANNUELS-2024-FORTE-CROISSANCE-DU-CHIFFRE-D-AFFAIRES-ET-LEV%C3%89E-DE-200-M-DE-FONDS-EN-DEEPTECH.html,,RESULTATS ANNUELS 2024 : FORTE CROISSANCE DU CHIFFRE,20250428T161500Z,https://ml-eu.globenewswire.com/Resource/Download/53bac8a0-2a39-447e-87b0-3eaf21710ecc,globenewswire.com,French,United States,investment,French,a3416fd96ef3654b5a06d239c572ea51
https://www.zonebourse.com/cours/action/CAISSE-REGIONALE-DE-CREDI-5676/actualite/Caisse-Regionale-de-Credit-Agricole-Mutuel-Nord-de-France-SEM-17-DECLARATION-CCI-49734575/,,Caisse Regionale de Credit Agricole Mutuel Nord de France : SEM 17 DECLARATION CCI,20250428T081500Z,https://www.zonebourse.com/images/twitter_ZB_fdblanc.png,zonebourse.com,French,France,investment,French,ca44674f8c67b2d1af56da684ba9c1c8
https://fr.euronews.com/business/2025/04/28/ou-linvestissement-immobilier-sera-t-il-le-plus-rentable-en-europe-en-2025,,Où linvestissement immobilier sera - t - il le plus rentable en Europe en 2025  ? ,20250428T064500Z,https://static.euronews.com/articles/stories/09/23/35/44/1200x675_cmsv2_1f9f0b28-f009-56c7-aa61-46200e78d370-9233544.jpg,fr.euronews.com,French,United States,investment,French,cf34ab23dde3e55924d04b4bf62a5c01
https://www.zonebourse.com/cours/action/DAIWA-SECURITIES-GROUP-IN-6491231/actualite/Benefice-net-de-Daiwa-Securities-en-chute-de-35-8-au-quatrieme-trimestre-49732437/,,"Bénéfice net de Daiwa Securities en chute de 35 , 8 % au quatrième trimestre",20250428T054500Z,https://www.zonebourse.com/images/twitter_ZB_fdblanc.png,zonebourse.com,French,France,investment,French,991d69c808028e0a3b463c39f5968a33
https://fr.allafrica.com/stories/202504270091.html,,Togo : Datcha - Renaissance dune activité textile,20250427T170000Z,,fr.allafrica.com,French,Nigeria,investment,French,bd6d08dea42a6f818327b1b913f9b8db
https://www.abc.es/espana/emision-directo-rey-inaugura-foro-internacional-invest-20250428094859-nt.html,https://www.abc.es/espana/emision-directo-rey-inaugura-foro-internacional-invest-20250428094859-nt_amp.html,Emisión en directo | El Rey inaugura el foro internacional  Invest in Spain Summit  ,20250428T083000Z,https://s1.abcstatics.com/abc/www/multimedia/espana/2025/04/28/1495578777-U60717038441zTn-1024x512@diario_abc.jpg,abc.es,Spanish,Spain,investment,Spanish,0eab3b922501435f960e22aff5f4ee8f
https://www.lavanguardia.com/dinero/20250428/10623219/aldea-ventures-consigue-50-millones-segundo-fondo-inversion.html,https://www.lavanguardia.com/dinero/20250428/10623219/aldea-ventures-consigue-50-millones-segundo-fondo-inversion.amp.html,Aldea Ventures consigue 50 millones de su segundo fondo de inversión,20250428T071500Z,https://www.lavanguardia.com/files/og_thumbnail/uploads/2025/04/27/680e5ffdd24b7.jpeg,lavanguardia.com,Spanish,Spain,investment,Spanish,25f9bce038702cfc74347c291e7c823a
https://eju.tv/2025/04/entregan-estudio-de-preinversion-de-la-construccion-de-represa-en-san-miguel-de-velasco/,,Entregan estudio de preinversión de la construcción de represa en San Miguel de Velasco,20250428T043000Z,https://eju.tv/wp-content/uploads/2025/04/img_680ef553185e1-e1745811097709.jpg,eju.tv,Spanish,Bolivia,investment,Spanish,e7373aba3f4c4d65464b324684d55f74
